"ProductCode","ProductName","ProductVersion","OpSystemCode","MfgCode","Language","ApplicationType"
18513,"RosettaStone Level 1, 2 & 3 Japanese","3","190","1103","English","Language tutorial"
18513,"RosettaStone Level 1, 2 & 3 Japanese","3","231","1103","English","Language tutorial"
18513,"RosettaStone Level 1, 2 & 3 Japanese","3","237","1103","English","Language tutorial"
18513,"RosettaStone Level 1, 2 & 3 Japanese","3","247","1103","English","Language tutorial"
18514,"DVD Architect Studio","c. 2007","237","898","English","Cd/Dvd creator"
18514,"DVD Architect Studio","c. 2007","327","898","English","Cd/Dvd creator"
18515,"Microsoft MapPoint 2006","2006","186","609","English","business mapping"
18515,"Microsoft MapPoint 2006","2006","226","609","English","business mapping"
18515,"Microsoft MapPoint 2006","2006","231","609","English","business mapping"
18516,"Street Atlas USA 2009","c. 2008","248","253","English","Street Atlas"
18516,"Street Atlas USA 2009","c. 2008","249","253","English","Street Atlas"
18516,"Street Atlas USA 2009","c. 2008","250","253","English","Street Atlas"
18516,"Street Atlas USA 2009","c. 2008","251","253","English","Street Atlas"
18516,"Street Atlas USA 2009","c. 2008","262","253","English","Street Atlas"
18516,"Street Atlas USA 2009","c. 2008","305","253","English","Street Atlas"
18517,"Adventure Collection","Volume One","190","959","English","Game,Videogame"
18517,"Adventure Collection","Volume One","231","959","English","Game,Videogame"
18518,"Warhammer 40,000 Dawn of War Soulstorm","c. 2008","190","946","English","Game,Videogame"
18518,"Warhammer 40,000 Dawn of War Soulstorm","c. 2008","231","946","English","Game,Videogame"
18519,"Tom Clancy's Rainbow Six Vegas 2","2008","231","1001","English","Game,Videogame"
18519,"Tom Clancy's Rainbow Six Vegas 2","2008","237","1001","English","Game,Videogame"
18520,"Autodesk Symbols 2000","1999","189","96","English","Design"
18522,"Camtasia Studio","5","231","1194","English","Editor,Multimedia,Video"
18522,"Camtasia Studio","5","237","1194","English","Editor,Multimedia,Video"
18523,"IBM ViaVoice Simply Dictation","2003","77","427","English","Speech Recognition"
18523,"IBM ViaVoice Simply Dictation","2003","84","427","English","Speech Recognition"
18524,"Adobe Acrobat 8 Professional Upgrade Middle Eastern Version","1984-2006","246","36","Arabic,English","pdf creation"
18525,"MacSpeech Dictate","2008","258","1124","English","Speech Recognition"
18525,"MacSpeech Dictate","2008","259","1124","English","Speech Recognition"
18526,"Essentials 2 for Adobe Photoshop Elements","2","231","1121","English","Graphic/Drawing"
18526,"Essentials 2 for Adobe Photoshop Elements","2","237","1121","English","Graphic/Drawing"
18526,"Essentials 2 for Adobe Photoshop Elements","2","257","1121","English","Graphic/Drawing"
18527,"Chocolatier","Copyright 2007","190","1196","English","Game"
18527,"Chocolatier","Copyright 2007","205","1196","English","Game"
